loinc_num,component,system,scale_typ,long_common_name,example_ucum_units,displayname
"14630-8","Bilirubin.non-glucuronidated","Ser/Plas","Qn","Bilirubin.indirect [Moles/volume] in Serum or Plasma","umol/L","Bilirubin.indirect [Moles/Vol]"
"49865-9","Coagulation factor VIII activity actual/Normal","PPP","Qn","Coagulation factor VIII activity actual/normal in Platelet poor plasma by Chromogenic method","","Coagulation factor VIII activity actual/normal Chromogenic method (PPP) [Rel units/Vol]"
"3187-2","Coagulation factor IX activity actual/Normal","PPP","Qn","Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor IX activity actual/normal Coag (PPP) [Relative time]"
"29370-4","cloZAPine^trough","Ser/Plas","Qn","cloZAPine [Mass/volume] in Serum or Plasma --trough","ng/mL","cloZAPine trough [Mass/Vol]"
"3232-6","Coagulation factor XII activity actual/Normal","PPP","Qn","Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay","%","Coagulation factor XII activity actual/normal Coag (PPP) [Relative time]"
"74975-4","Nordiazepam^trough","Ser/Plas","Qn","Nordiazepam [Mass/volume] in Serum or Plasma --trough","ug/L","Nordiazepam trough [Mass/Vol]"
"32309-7","Cholesterol.total/Cholesterol.in HDL","Ser/Plas","Qn","Cholesterol.total/Cholesterol in HDL [Molar ratio] in Serum or Plasma","","Cholesterol.total/Cholesterol in HDL [Molar ratio]"
"25665-1","Glucose^1H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1 hour post XXX challenge","mmol/L","Glucose 1 Hr post Unsp challenge [Moles/Vol]"
"49011-0","Platelet aggregation.arachidonate induced","PRP","Qn","Platelet aggregation arachidonate induced [Units/volume] in Platelet rich plasma","[arb'U]","Platelet aggregation arachidonate induced Qn (PRP)"
"41284-1","Epithelial cells.non-squamous","Urine sed","Qn","Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field","/[HPF]","Epithelial cells.non-squamous LM.HPF (Urine sed) [#/Area]"
"27811-9","Antithrombin actual/Normal","PPP","Qn","Antithrombin actual/normal in Platelet poor plasma by Chromogenic method","%","Antithrombin actual/normal Chromogenic method (PPP) [Rel catalytic activity/Vol]"
"82916-8","Flurazepam^trough","Ser/Plas","Qn","Flurazepam [Mass/volume] in Serum or Plasma --trough","ug/L","Flurazepam trough [Mass/Vol]"
"23864-2","Flunitrazepam","Ser/Plas","Qn","Flunitrazepam [Mass/volume] in Serum or Plasma","ng/mL","Flunitrazepam [Mass/Vol]"
"25668-5","Glucose^2H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --2 hours post XXX challenge","mmol/L","Glucose 2 Hr post Unsp challenge [Moles/Vol]"
"5821-4","Leukocytes","Urine sed","Qn","Leukocytes [#/area] in Urine sediment by Microscopy high power field","/[HPF]","WBC LM.HPF (Urine sed) [#/Area]"
"2598-1","Magnesium","Urine","Qn","Magnesium [Moles/volume] in Urine","mmol/L","Magnesium (U) [Moles/Vol]"
"46424-8","Hemolysis interference index","Ser/Plas","Qn","Hemolysis interference index of Serum or Plasma","[arb'U]/mL","Hemolysis interference index Qn"
"14836-1","Methotrexate","Ser/Plas","Qn","Methotrexate [Moles/volume] in Serum or Plasma","umol/L","Methotrexate [Moles/Vol]"
"25160-3","Granular casts","Urine sed","Ord","Granular casts [Presence] in Urine sediment by Light microscopy","","Granular casts LM Ql (Urine sed)"
"26446-5","Blasts/100 leukocytes","Bld","Qn","Blasts/100 leukocytes in Blood","%","Blasts/100 WBC (Bld)"
"69797-9","1-Hydroxymidazolam","Ser/Plas","Qn","1-Hydroxymidazolam [Mass/volume] in Serum or Plasma","ng/mL","1-Hydroxymidazolam [Mass/Vol]"
"3035-3","Transferrin","Urine","Qn","Transferrin [Mass/volume] in Urine","mg/dL","Transferrin (U) [Mass/Vol]"
"74936-6","QUEtiapine^trough","Ser/Plas","Qn","QUEtiapine [Mass/volume] in Serum or Plasma --trough","ug/L","QUEtiapine trough [Mass/Vol]"
"4050-1","Thiopental","Ser/Plas","Qn","Thiopental [Mass/volume] in Serum or Plasma","ug/mL","Thiopental [Mass/Vol]"
"19321-9","6-Monoacetylmorphine","Urine","Ord","6-Monoacetylmorphine (6-MAM) [Presence] in Urine by Screen method","","6-Monoacetylmorphine (6-MAM) Screen Ql (U)"
"12841-3","Prostate specific Ag.free/Prostate specific Ag.total","Ser/Plas","Qn","Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma","%","Free PSA/Total PSA [Mass fraction]"
"40151-3","Glucose^10M pre XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --10 minutes pre XXX challenge","mmol/L","Glucose 10 Min pre Unsp challenge [Moles/Vol]"
"25668-5","Glucose^2H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --2 hours post XXX challenge","mmol/L","Glucose 2 Hr post Unsp challenge [Moles/Vol]"
"3160-9","Specimen volume","Semen","Qn","Volume of Semen","mL","Specimen volume (Sem)"
"2731-8","Parathyrin.intact","Ser/Plas","Qn","Parathyrin.intact [Mass/volume] in Serum or Plasma","pg/mL","Parathyrin.intact [Mass/Vol]"
"2520-5","Lactate","CSF","Qn","Lactate [Moles/volume] in Cerebral spinal fluid","mmol/L","Lactate (CSF) [Moles/Vol]"
"1751-7","Albumin","Ser/Plas","Qn","Albumin [Mass/volume] in Serum or Plasma","g/dL","Albumin [Mass/Vol]"
"5644-0","Ethanol","Urine","Ord","Ethanol [Presence] in Urine","","Ethanol Ql (U)"
"43985-1","Benzoylecgonine","Urine","Ord","Benzoylecgonine [Presence] in Urine by Screen method >300 ng/mL","","Benzoylecgonine Screen method >300 ng/mL Ql (U)"
"78889-3","Tricyclic antidepressants","Urine","Ord","Tricyclic antidepressants [Presence] in Urine by Screen method >300 ng/mL","","Tricyclic antidepressants Screen method >300 ng/mL Ql (U)"
"82723-8","Cocaine+Benzoylecgonine+Cocaethylene","Urine","Ord","Cocaine+Benzoylecgonine+Cocaethylene [Presence] in Urine by Confirmatory method","","Cocaine+Benzoylecgonine+Cocaethylene Confirm Ql (U)"
"61058-4","Alpha-Phenyl-2-Piperidine acetate","Urine","Ord","Alpha-Phenyl-2-Piperidine acetate [Presence] in Urine","","Alpha-Phenyl-2-Piperidine acetate Ql (U)"
"8172-9","Cannabinoids","Ser/Plas","Ord","Cannabinoids [Presence] in Serum or Plasma by Screen method","","Cannabinoids Screen Ql"
"3389-4","Benzodiazepines","Ser/Plas","Ord","Benzodiazepines [Presence] in Serum or Plasma","","Benzodiazepines Ql"
"60071-8","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine","Ser/Plas","Qn","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Serum or Plasma","ng/mL","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/Vol]"
"31080-5","Cannabinoids","Meconium","Ord","Cannabinoids [Presence] in Meconium by Screen method","","Cannabinoids Screen Ql (Mec)"
"14719-9","Ethanol","Ser/Plas","Qn","Ethanol [Moles/volume] in Serum or Plasma","mmol/L","Ethanol [Moles/Vol]"
"3772-1","Methadone","Ser/Plas","Qn","Methadone [Mass/volume] in Serum or Plasma","ng/mL","Methadone [Mass/Vol]"
"11002-3","Scopolamine","Urine","Ord","Scopolamine [Presence] in Urine","","Scopolamine Ql (U)"
"4024-6","Salicylates","Ser/Plas","Qn","Salicylates [Mass/volume] in Serum or Plasma","mg/dL","Salicylates [Mass/Vol]"
"80642-2","Floxacillin.free","Ser/Plas","Qn","Floxacillin Free [Mass/volume] in Serum or Plasma","mg/L","Floxacillin Free [Mass/Vol]"
"3872-9","Nortriptyline","Ser/Plas","Qn","Nortriptyline [Mass/volume] in Serum or Plasma","ug/mL","Nortriptyline [Mass/Vol]"
"3584-0","Doxepin^trough","Ser/Plas","Qn","Doxepin [Mass/volume] in Serum or Plasma --trough","ng/mL","Doxepin trough [Mass/Vol]"
"3868-7","Norfluoxetine","Ser/Plas","Qn","Norfluoxetine [Mass/volume] in Serum or Plasma","ug/L","Norfluoxetine [Mass/Vol]"
"3535-2","Desipramine^trough","Ser/Plas","Qn","Desipramine [Mass/volume] in Serum or Plasma --trough","ng/mL","Desipramine trough [Mass/Vol]"
"72658-8","PARoxetine^trough","Ser/Plas","Qn","PARoxetine [Mass/volume] in Serum or Plasma --trough","mg/L","PARoxetine trough [Mass/Vol]"
"48350-3","Venlafaxine+O-desmethylvenlafaxine","Ser/Plas","Qn","Venlafaxine+O-desmethylvenlafaxine [Moles/volume] in Serum or Plasma","nmol/L","Venlafaxine+O-desmethylvenlafaxine [Moles/Vol]"
"59297-2","Lacosamide","Ser/Plas","Qn","Lacosamide [Mass/volume] in Serum or Plasma","ug/mL","Lacosamide [Mass/Vol]"
"74926-7","PHENobarbital^trough","Ser/Plas","Qn","PHENobarbital [Mass/volume] in Serum or Plasma --trough","mg/L","PHENobarbital trough [Mass/Vol]"
"4088-1","Valproate^trough","Ser/Plas","Qn","Valproate [Mass/volume] in Serum or Plasma --trough","ug/mL","Valproate trough [Mass/Vol]"
"18337-6","Hydroxyitraconazole","Ser/Plas","Qn","Hydroxyitraconazole [Mass/volume] in Serum or Plasma","ug/mL","Hydroxyitraconazole [Mass/Vol]"
"29247-4","Sirolimus","Bld","Qn","Sirolimus [Mass/volume] in Blood","ng/mL","Sirolimus (Bld) [Mass/Vol]"
"29370-4","cloZAPine^trough","Ser/Plas","Qn","cloZAPine [Mass/volume] in Serum or Plasma --trough","ng/mL","cloZAPine trough [Mass/Vol]"
"39799-2","risperiDONE","Ser/Plas","Qn","risperiDONE [Moles/volume] in Serum or Plasma","nmol/L","risperiDONE [Moles/Vol]"
"35107-2","Norclobazam","Ser/Plas","Qn","Norclobazam [Mass/volume] in Serum or Plasma","ng/mL","Norclobazam [Mass/Vol]"
"23864-2","Flunitrazepam","Ser/Plas","Qn","Flunitrazepam [Mass/volume] in Serum or Plasma","ng/mL","Flunitrazepam [Mass/Vol]"
"72666-1","Nitrazepam^trough","Ser/Plas","Qn","Nitrazepam [Mass/volume] in Serum or Plasma --trough","mg/L","Nitrazepam trough [Mass/Vol]"
"15363-5","Busulfan","Ser/Plas","Qn","Busulfan [Mass/volume] in Serum or Plasma","ng/mL","Busulfan [Mass/Vol]"
"41406-0","Meropenem","Ser/Plas","Qn","Meropenem [Mass/volume] in Serum or Plasma","ug/mL","Meropenem [Mass/Vol]"
"22322-2","Hepatitis B virus surface Ab","Ser","Ord","Hepatitis B virus surface Ab [Presence] in Serum","","HBV surface Ab Ql (S)"
"22244-8","Cytomegalovirus Ab.IgG","Ser/Plas","Ord","Cytomegalovirus IgG Ab [Presence] in Serum or Plasma","","CMV IgG Ql"
"25542-2","Toxoplasma gondii Ab.IgM","Ser","Ord","Toxoplasma gondii IgM Ab [Presence] in Serum","","T. gondii IgM Ql (S)"
"7885-7","Epstein Barr virus capsid Ab.IgG","Ser","Qn","Epstein Barr virus capsid IgG Ab [Units/volume] in Serum","[arb'U]/mL","EBV capsid IgG Qn (S)"
"36921-5","Herpes simplex virus 1+2 Ab.IgG","Ser","Ord","Herpes simplex virus 1+2 IgG Ab [Presence] in Serum","","HSV 1+2 IgG Ql (S)"
"2887-8","Protein","Urine","Ord","Protein [Presence] in Urine","","Protein Ql (U)"
"725-2","Hemoglobin","Urine","Ord","Hemoglobin [Presence] in Urine","","Hemoglobin Ql (U)"
"87830-6","Epithelial cells","Urine","Ord","Epithelial cells [Presence] in Urine","","Epithelial cells Ql (U)"
"53318-2","Epithelial cells.squamous","Urine","Ord","Epithelial cells.squamous [Presence] in Urine by Automated","","Epithelial cells.squamous Auto Ql (U)"
"24518-3","Calcium/Creatinine","Urine","Qn","Calcium/Creatinine [Molar ratio] in Urine","mol/mol{creat}","Calcium/Creatinine (U) [Molar ratio]"
"34266-7","Citrate","Urine","Qn","Citrate [Moles/volume] in Urine","mmol/L","Citrate (U) [Moles/Vol]"
"2828-2","Potassium","Urine","Qn","Potassium [Moles/volume] in Urine","mmol/L","Potassium (U) [Moles/Vol]"
"14684-5","Creatinine","Urine","Qn","Creatinine [Moles/time] in 24 hour Urine","mmol/(24.h)","Creatinine (24H U) [Moles/Time]"
"25954-9","Magnesium","Urine","Qn","Magnesium [Moles/volume] in 24 hour Urine","mmol/L","Magnesium (24H U) [Moles/Vol]"
"2956-1","Sodium","Urine","Qn","Sodium [Moles/time] in 24 hour Urine","mmol/(24.h)","Sodium (24H U) [Moles/Time]"
"25973-9","Phosphate","Urine","Qn","Phosphate [Moles/volume] in 24 hour Urine","mmol/L","Phosphate (24H U) [Moles/Vol]"
"48415-4","Alpha-1-Microglobulin/Creatinine","Urine","Qn","Alpha-1-Microglobulin/Creatinine [Mass Ratio] in Urine","mg/g{creat}","Alpha-1-Microglobulin/Creatinine (U) [Mass ratio]"
"33782-4","Retinol binding protein","Urine","Qn","Retinol binding protein [Mass/volume] in Urine","mg/L","Retinol binding protein (U) [Mass/Vol]"
"22735-5","Bicarbonate","XXX","Qn","Bicarbonate [Moles/volume] in Specimen","mmol/L","HCO3 (Specimen) [Moles/Vol]"
"41276-7","Anion gap","Bld","Qn","Anion gap in Blood","mmol/L","Anion gap (Bld) [Moles/Vol]"
"11559-2","Oxyhemoglobin/Hemoglobin.total","Bld","Qn","Fractional oxyhemoglobin in Blood","%","Oxyhemoglobin (Bld) [Mass fraction]"
"2472-9","IgM","Ser/Plas","Qn","IgM [Mass/volume] in Serum or Plasma","mg/dL","IgM [Mass/Vol]"
"74520-8","Complement alternate pathway AH50 actual/normal","Ser","Qn","Complement alternate pathway AH50 actual/normal in Serum by Immunoassay","%","Complement alternate pathway AH50 actual/normal IA (S) [Rel units/Vol]"
"55170-5","Cytoplasmic Ab","Ser","Qn","Cytoplasmic Ab [Titer] in Serum by Immunofluorescence","{titer}","Cytoplasmic Ab IF (S) [Titer]"
"48404-8","Myeloperoxidase Ab.IgG","Ser","Qn","Myeloperoxidase IgG Ab [Units/volume] in Serum","[arb'U]/mL","Myeloperoxidase IgG Qn (S)"
"25665-1","Glucose^1H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1 hour post XXX challenge","mmol/L","Glucose 1 Hr post Unsp challenge [Moles/Vol]"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"70143-3","Cannabinoids","Urine","Qn","Cannabinoids [Mass/volume] in Urine by Screen method","ng/mL","Cannabinoids Screen (U) [Mass/Vol]"
"10975-1","6-Monoacetylmorphine","Urine","Qn","6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine","ng/mL","6-Monoacetylmorphine (6-MAM) (U) [Mass/Vol]"
"3392-8","Benzoylecgonine","Ser/Plas","Qn","Benzoylecgonine [Mass/volume] in Serum or Plasma","ng/mL","Benzoylecgonine [Mass/Vol]"
"29161-7","Barbiturates","Meconium","Qn","Barbiturates [Mass/mass] in Meconium","ng/g","Barbiturates (Mec) [Mass/Mass]"
"11005-6","Trimethoprim","Ser/Plas","Qn","Trimethoprim [Mass/volume] in Serum or Plasma","ug/mL","Trimethoprim [Mass/Vol]"
"51786-2","HIV 2 Ab Signal/Cutoff","Ser/Plas","Qn","HIV 2 Ab Signal/Cutoff in Serum or Plasma by Immunoassay","","HIV 2 Ab Signal/Cutoff IA [Rel units/Vol]"
"14683-7","Creatinine","Urine","Qn","Creatinine [Moles/volume] in Urine","mmol/L","Creatinine (U) [Moles/Vol]"
"14683-7","Creatinine","Urine","Qn","Creatinine [Moles/volume] in Urine","mmol/L","Creatinine (U) [Moles/Vol]"
"33358-3","Protein.monoclonal","Ser/Plas","Qn","Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis","g/dL","Protein.monoclonal Elph [Mass/Vol]"
"59705-4","Methadone","Ser/Plas","Ord","Methadone [Presence] in Serum or Plasma by Screen method","","Methadone Screen Ql"
"2457-0","IgA","CSF","Qn","IgA [Mass/volume] in Cerebral spinal fluid","mg/dL","IgA (CSF) [Mass/Vol]"
"42206-3","IgA.CSF/IgA.serum","Ser+CSF","Qn","IgA in CSF/IgA in serum","{ratio}","IgA in CSF/IgA in serum (S+CSF) [Relative ratio]"
"42207-1","IgG.CSF/IgG.serum","Ser+CSF","Qn","IgG in CSF/IgG in serum","{ratio}","IgG in CSF/IgG in serum (S+CSF) [Relative ratio]"
"14756-1","Glucose^1H post dose glucose","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1 hour post dose glucose","mmol/L","Glucose 1 Hr post dose glucose [Moles/Vol]"
"32312-1","Cortisol^2H post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --2 hours post XXX challenge","nmol/L","Cortisol 2 Hr post Unsp challenge [Moles/Vol]"
"60071-8","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine","Ser/Plas","Qn","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Serum or Plasma","ng/mL","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/Vol]"
"25679-2","Glucose^1.5H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1.5 hours post XXX challenge","mmol/L","Glucose 1.5 Hr post Unsp challenge [Moles/Vol]"
"14390-9","Amylase","Dial fld","Qn","Amylase [Enzymatic activity/volume] in Dialysis fluid","U/L","Amylase (Dial fld) [Catalytic activity/Vol]"
"1743-4","Alanine aminotransferase","Ser/Plas","Qn","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","U/L","ALT With P-5'-P [Catalytic activity/Vol]"
"14879-1","Phosphate","Ser/Plas","Qn","Phosphate [Moles/volume] in Serum or Plasma","mmol/L","Phosphate [Moles/Vol]"
"13539-2","Phosphate","Urine","Qn","Phosphate [Moles/volume] in Urine","mmol/L","Phosphate (U) [Moles/Vol]"
"14631-6","Bilirubin","Ser/Plas","Qn","Bilirubin.total [Moles/volume] in Serum or Plasma","umol/L","Bilirubin [Moles/Vol]"
"1988-5","C reactive protein","Ser/Plas","Qn","C reactive protein [Mass/volume] in Serum or Plasma","mg/L","CRP [Mass/Vol]"
"14920-3","Thyroxine.free","Ser/Plas","Qn","Thyroxine (T4) free [Moles/volume] in Serum or Plasma","pmol/L","Free T4 [Moles/Vol]"
"1743-4","Alanine aminotransferase","Ser/Plas","Qn","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","U/L","ALT With P-5'-P [Catalytic activity/Vol]"
"14682-9","Creatinine","Ser/Plas","Qn","Creatinine [Moles/volume] in Serum or Plasma","umol/L","Creatinine [Moles/Vol]"
"83121-4","Thyroxine.free","Ser/Plas","Qn","Thyroxine (T4) free [Moles/volume] in Serum or Plasma by Immunoassay","pmol/L","Free T4 IA [Moles/Vol]"
"31179-5","Lopinavir","Ser/Plas","Qn","Lopinavir [Mass/volume] in Serum or Plasma","ug/mL","Lopinavir [Mass/Vol]"
"27088-4","Folate","Bld","Ord","Folate [Presence] in Blood","","Folate Ql (Bld)"
"14211-7","Hepatitis E virus Ab.IgG","Ser","Ord","Hepatitis E virus IgG Ab [Presence] in Serum","","HEV IgG Ql (S)"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"16712-2","Cytomegalovirus Ab","Body fld","Qn","Cytomegalovirus Ab [Units/volume] in Body fluid","[arb'U]/mL","CMV Ab Qn (Body fld)"
"11258-1","Hepatitis B virus DNA","Ser","Qn","Hepatitis B virus DNA [Units/volume] in Serum","[IU]/mL","HBV DNA Qn (S)"
"14635-7","Calcidiol","Ser/Plas","Qn","25-hydroxyvitamin D3 [Moles/volume] in Serum or Plasma","nmol/L","25-hydroxyvitamin D3 [Moles/Vol]"
"10334-1","Cancer Ag 125","Ser/Plas","Qn","Cancer Ag 125 [Units/volume] in Serum or Plasma","[arb'U];[arb'U]/mL","Cancer Ag 125 Qn"
"93495-0","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine","Urine","Ord","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Urine by Screen method","","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) Screen Ql (U)"
"18343-4","6-Monoacetylmorphine","Ser/Plas","Ord","6-Monoacetylmorphine (6-MAM) [Presence] in Serum or Plasma by Screen method","","6-Monoacetylmorphine (6-MAM) Screen Ql"
"20521-1","Carboxy tetrahydrocannabinol","Urine","Qn","Carboxy tetrahydrocannabinol [Mass/volume] in Urine by Confirmatory method","ng/mL","Carboxy tetrahydrocannabinol Confirm (U) [Mass/Vol]"
"35670-9","Tobramycin","Ser/Plas","Qn","Tobramycin [Mass/volume] in Serum or Plasma","mg/L","Tobramycin [Mass/Vol]"
"74962-2","Maprotiline^trough","Ser/Plas","Qn","Maprotiline [Mass/volume] in Serum or Plasma --trough","ug/L","Maprotiline trough [Mass/Vol]"
"14887-4","Primidone","Ser/Plas","Qn","Primidone [Moles/volume] in Serum or Plasma","umol/L","Primidone [Moles/Vol]"
"12389-3","OLANZapine","Ser/Plas","Qn","OLANZapine [Mass/volume] in Serum or Plasma","ng/mL","OLANZapine [Mass/Vol]"
"3924-8","PENTobarbital","Ser/Plas","Qn","PENTobarbital [Mass/volume] in Serum or Plasma","ug/mL","PENTobarbital [Mass/Vol]"
"30325-5","Cytomegalovirus Ab.IgM","Ser/Plas","Ord","Cytomegalovirus IgM Ab [Presence] in Serum or Plasma","","CMV IgM Ql"
"1977-8","Bilirubin","Urine","Ord","Bilirubin.total [Presence] in Urine","","Bilirubin Ql (U)"
"2078-4","Chloride","Urine","Qn","Chloride [Moles/volume] in Urine","mmol/L","Chloride (U) [Moles/Vol]"
"21525-1","Sodium","Urine","Qn","Sodium [Moles/volume] in 24 hour Urine","mol/L","Sodium (24H U) [Moles/Vol]"
"24518-3","Calcium/Creatinine","Urine","Qn","Calcium/Creatinine [Molar ratio] in Urine","mol/mol{creat}","Calcium/Creatinine (U) [Molar ratio]"
"2468-7","IgG subclass 3","Ser","Qn","IgG subclass 3 [Mass/volume] in Serum","mg/dL","IgG subclass 3 (S) [Mass/Vol]"
"14756-1","Glucose^1H post dose glucose","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1 hour post dose glucose","mmol/L","Glucose 1 Hr post dose glucose [Moles/Vol]"
